"Timestamp","Application"
2019-05-25 09:35:49,"MonitorTool"
2019-05-25 09:35:52,"devenv"
2019-05-25 09:35:55,"explorer"
2019-05-25 09:35:56,"ShellExperienceHost"
2019-05-25 09:36:00,"explorer"
2019-05-25 09:53:09,"chrome"
2019-05-25 10:04:30,"explorer"
2019-05-25 10:04:33,"chrome"
2019-05-25 10:04:37,"Idle"
2019-05-25 10:04:38,"explorer"
2019-05-25 10:04:45,"chrome"
2019-05-25 10:29:38,"explorer"
2019-05-25 10:29:48,"chrome"
2019-05-25 10:30:47,"SearchUI"
2019-05-25 10:31:05,"explorer"
2019-05-25 10:31:19,"chrome"
2019-05-25 10:31:41,"explorer"
2019-05-25 10:31:56,"SearchUI"
2019-05-25 10:32:02,"explorer"
2019-05-25 10:32:05,"MendeleyDesktop"
2019-05-25 10:33:03,"explorer"
2019-05-25 10:33:05,"chrome"
2019-05-25 10:33:20,"POWERPNT"
2019-05-25 10:33:28,"chrome"
2019-05-25 10:33:32,"explorer"
2019-05-25 10:33:43,"WINWORD"
2019-05-25 10:33:47,"explorer"
2019-05-25 10:34:05,"SearchUI"
2019-05-25 10:34:09,"WINWORD"
2019-05-25 10:35:17,"explorer"
2019-05-25 10:35:21,"WINWORD"
2019-05-25 10:35:27,"explorer"
2019-05-25 10:35:32,"WINWORD"
2019-05-25 10:35:45,"explorer"
2019-05-25 10:35:46,"WINWORD"
2019-05-25 10:36:20,"explorer"
2019-05-25 10:36:21,"WINWORD"
2019-05-25 10:39:59,"Idle"
2019-05-25 10:40:00,"chrome"
2019-05-25 10:40:31,"explorer"
2019-05-25 10:40:42,"chrome"
2019-05-25 10:41:00,"explorer"
2019-05-25 10:41:18,"chrome"
2019-05-25 10:41:22,"explorer"
2019-05-25 10:41:27,"WINWORD"
2019-05-25 10:41:40,"explorer"
2019-05-25 10:45:30,"WINWORD"
2019-05-25 10:46:07,"MendeleyDesktop"
2019-05-25 10:47:35,"WINWORD"
2019-05-25 10:47:39,"MendeleyDesktop"
2019-05-25 10:48:23,"WINWORD"
2019-05-25 10:49:53,"explorer"
2019-05-25 10:50:02,"WINWORD"
2019-05-25 10:50:50,"explorer"
2019-05-25 10:50:51,"WINWORD"
2019-05-25 10:51:00,"chrome"
2019-05-25 10:51:59,"explorer"
2019-05-25 10:52:18,"chrome"
2019-05-25 10:52:30,"explorer"
2019-05-25 10:52:44,"WINWORD"
2019-05-25 10:54:55,"explorer"
2019-05-25 10:55:05,"WINWORD"
2019-05-25 11:07:08,"explorer"
2019-05-25 11:07:14,"WINWORD"
2019-05-25 11:07:57,"MendeleyDesktop"
2019-05-25 11:07:58,"explorer"
2019-05-25 11:08:03,"WINWORD"
2019-05-25 11:08:13,"MendeleyDesktop"
2019-05-25 11:08:14,"WINWORD"
2019-05-25 11:11:29,"MendeleyDesktop"
2019-05-25 11:11:46,"ApplicationFrameHost"
2019-05-25 11:12:08,"MendeleyDesktop"
2019-05-25 11:13:22,"chrome"
2019-05-25 11:13:44,"MendeleyDesktop"
2019-05-25 11:13:48,"Idle"
2019-05-25 11:13:50,"chrome"
2019-05-25 11:14:09,"Idle"
2019-05-25 11:14:10,"MendeleyDesktop"
2019-05-25 11:14:17,"ApplicationFrameHost"
2019-05-25 11:46:44,"WINWORD"
2019-05-25 11:46:46,"explorer"
2019-05-25 11:46:48,"WINWORD"
2019-05-25 11:47:19,"chrome"
2019-05-25 11:47:20,"WINWORD"
2019-05-25 11:47:37,"ApplicationFrameHost"
2019-05-25 11:48:31,"explorer"
2019-05-25 11:48:32,"WINWORD"
2019-05-25 11:51:33,"Idle"
2019-05-25 11:51:34,"explorer"
2019-05-25 11:51:49,"POWERPNT"
2019-05-25 11:53:31,"explorer"
2019-05-25 11:53:35,"WINWORD"
2019-05-25 11:53:57,"explorer"
2019-05-25 11:54:01,"WINWORD"
2019-05-25 11:56:35,"POWERPNT"
2019-05-25 11:56:42,"explorer"
2019-05-25 11:56:43,"S-Interface"
2019-05-25 11:56:46,"explorer"
2019-05-25 11:56:47,"S-Interface"
2019-05-25 11:56:48,"POWERPNT"
2019-05-25 11:56:50,"explorer"
2019-05-25 11:56:57,"WINWORD"
2019-05-25 12:03:29,"explorer"
2019-05-25 12:03:32,"WINWORD"
2019-05-25 12:07:28,"explorer"
2019-05-25 12:07:29,"WINWORD"
2019-05-25 12:11:56,"LockApp"
2019-05-25 12:20:12,"Idle"
2019-05-25 12:21:06,"WINWORD"
2019-05-25 12:21:46,"explorer"
2019-05-25 12:21:50,"WINWORD"
2019-05-25 12:37:55,"explorer"
2019-05-25 12:37:56,"ShellExperienceHost"
2019-05-25 12:38:00,"explorer"
2019-05-25 12:39:25,"WINWORD"
2019-05-25 12:39:27,"explorer"
2019-05-25 12:39:36,"WINWORD"
2019-05-25 12:39:40,"explorer"
2019-05-25 12:39:41,"WINWORD"
2019-05-25 12:39:46,"explorer"
2019-05-25 12:39:48,"WINWORD"
2019-05-25 12:44:22,"explorer"
2019-05-25 12:44:24,"WINWORD"
2019-05-25 12:46:42,"Idle"
2019-05-25 12:46:43,"explorer"
2019-05-25 12:46:45,"WINWORD"
2019-05-25 12:53:43,"explorer"
2019-05-25 12:53:45,"WINWORD"
2019-05-25 12:55:46,"explorer"
2019-05-25 12:55:48,"WINWORD"
2019-05-25 12:59:06,"explorer"
2019-05-25 12:59:10,"Idle"
2019-05-25 12:59:11,"LockApp"
2019-05-25 13:47:11,"Idle"
2019-05-25 13:47:35,"explorer"
2019-05-25 13:47:41,"ShellExperienceHost"
2019-05-25 13:47:43,"explorer"
2019-05-25 13:48:06,"WINWORD"
2019-05-25 13:48:08,"Idle"
2019-05-25 13:48:09,"explorer"
2019-05-25 13:48:12,"POWERPNT"
2019-05-25 13:49:12,"Idle"
2019-05-25 13:49:13,"explorer"
2019-05-25 13:49:15,"WINWORD"
2019-05-25 13:49:44,"POWERPNT"
2019-05-25 13:51:02,"WINWORD"
2019-05-25 13:51:04,"explorer"
2019-05-25 13:51:07,"WINWORD"
2019-05-25 13:57:32,"Idle"
2019-05-25 13:57:33,"WINWORD"
2019-05-25 13:57:55,"MendeleyDesktop"
2019-05-25 13:57:56,"Idle"
2019-05-25 13:57:57,"explorer"
2019-05-25 13:58:02,"WINWORD"
2019-05-25 13:58:07,"MendeleyDesktop"
2019-05-25 13:58:09,"explorer"
2019-05-25 13:58:34,"WINWORD"
2019-05-25 14:02:03,"explorer"
2019-05-25 14:02:08,"WINWORD"
2019-05-25 14:02:27,"explorer"
2019-05-25 14:02:28,"WINWORD"
2019-05-25 14:07:08,"explorer"
2019-05-25 14:07:27,"POWERPNT"
2019-05-25 14:08:43,"Idle"
2019-05-25 14:08:44,"explorer"
2019-05-25 14:08:46,"WINWORD"
2019-05-25 14:08:52,"explorer"
2019-05-25 14:08:54,"WINWORD"
2019-05-25 14:12:57,"explorer"
2019-05-25 14:12:58,"POWERPNT"
2019-05-25 14:13:17,"Idle"
2019-05-25 14:13:18,"explorer"
2019-05-25 14:13:19,"WINWORD"
2019-05-25 14:13:33,"POWERPNT"
2019-05-25 14:13:35,"explorer"
2019-05-25 14:13:36,"WINWORD"
2019-05-25 14:13:56,"Idle"
2019-05-25 14:13:57,"POWERPNT"
2019-05-25 14:14:06,"WINWORD"
2019-05-25 14:15:00,"LockApp"
2019-05-25 14:20:34,"Idle"
2019-05-25 14:20:56,"WINWORD"
2019-05-25 14:35:31,"explorer"
2019-05-25 14:36:14,"WINWORD"
2019-05-25 14:36:28,"explorer"
2019-05-25 14:36:51,"EXCEL"
2019-05-25 14:37:17,"explorer"
2019-05-25 14:37:27,"POWERPNT"
2019-05-25 14:37:34,"explorer"
2019-05-25 14:37:39,"WINWORD"
2019-05-25 14:53:49,"POWERPNT"
2019-05-25 14:54:08,"WINWORD"
2019-05-25 14:54:12,"POWERPNT"
2019-05-25 14:54:15,"WINWORD"
2019-05-25 14:54:17,"POWERPNT"
2019-05-25 14:54:20,"WINWORD"
2019-05-25 14:54:30,"POWERPNT"
2019-05-25 14:54:59,"explorer"
2019-05-25 14:55:02,"WINWORD"
2019-05-25 14:55:05,"explorer"
2019-05-25 14:55:19,"WINWORD"
2019-05-25 14:55:58,"POWERPNT"
2019-05-25 14:56:24,"WINWORD"
2019-05-25 14:56:36,"MendeleyDesktop"
2019-05-25 14:56:43,"WINWORD"
2019-05-25 14:56:44,"chrome"
2019-05-25 14:56:50,"WINWORD"
2019-05-25 14:57:02,"Idle"
2019-05-25 14:57:03,"POWERPNT"
2019-05-25 14:58:11,"WINWORD"
2019-05-25 14:58:18,"Idle"
2019-05-25 14:58:19,"POWERPNT"
2019-05-25 14:58:32,"WINWORD"
2019-05-25 14:59:02,"explorer"
2019-05-25 14:59:06,"WINWORD"
2019-05-25 14:59:10,"POWERPNT"
2019-05-25 14:59:11,"WINWORD"
2019-05-25 14:59:12,"explorer"
2019-05-25 14:59:15,"WINWORD"
2019-05-25 15:06:52,"explorer"
2019-05-25 15:07:00,"WINWORD"
2019-05-25 15:07:58,"explorer"
2019-05-25 15:07:59,"WINWORD"
2019-05-25 15:08:35,"explorer"
2019-05-25 15:08:37,"WINWORD"
2019-05-25 15:08:40,"explorer"
2019-05-25 15:08:42,"WINWORD"
2019-05-25 15:11:26,"explorer"
2019-05-25 15:11:28,"WINWORD"
2019-05-25 15:11:37,"explorer"
2019-05-25 15:11:39,"WINWORD"
2019-05-25 15:11:47,"explorer"
2019-05-25 15:11:48,"WINWORD"
2019-05-25 15:12:18,"explorer"
2019-05-25 15:12:19,"WINWORD"
2019-05-25 15:12:21,"explorer"
2019-05-25 15:12:22,"WINWORD"
2019-05-25 15:13:16,"explorer"
2019-05-25 15:13:17,"WINWORD"
2019-05-25 15:13:27,"explorer"
2019-05-25 15:13:28,"WINWORD"
2019-05-25 15:18:52,"explorer"
2019-05-25 15:18:55,"WINWORD"
2019-05-25 15:22:31,"explorer"
2019-05-25 15:22:34,"WINWORD"
2019-05-25 15:25:14,"explorer"
2019-05-25 15:25:19,"WINWORD"
2019-05-25 15:35:27,"explorer"
2019-05-25 15:35:29,"WINWORD"
2019-05-25 15:36:50,"POWERPNT"
2019-05-25 15:36:52,"explorer"
2019-05-25 15:36:55,"WINWORD"
2019-05-25 15:37:41,"explorer"
2019-05-25 15:37:43,"WINWORD"
2019-05-25 15:38:24,"explorer"
2019-05-25 15:38:25,"WINWORD"
2019-05-25 15:38:31,"explorer"
2019-05-25 15:38:33,"WINWORD"
2019-05-25 15:38:39,"MendeleyDesktop"
2019-05-25 15:38:40,"explorer"
2019-05-25 15:38:43,"WINWORD"
2019-05-25 15:39:40,"Idle"
2019-05-25 15:39:41,"LockApp"
2019-05-25 16:14:21,"Idle"
2019-05-25 16:15:03,"WINWORD"
2019-05-25 16:16:07,"explorer"
2019-05-25 16:16:10,"WINWORD"
2019-05-25 16:17:30,"Idle"
2019-05-25 16:17:31,"explorer"
2019-05-25 16:17:34,"WINWORD"
2019-05-25 16:21:33,"chrome"
2019-05-25 16:23:37,"explorer"
2019-05-25 16:23:38,"WINWORD"
2019-05-25 16:23:48,"chrome"
2019-05-25 16:24:26,"explorer"
2019-05-25 16:24:28,"WINWORD"
2019-05-25 16:24:39,"chrome"
2019-05-25 16:29:04,"explorer"
2019-05-25 16:29:05,"WINWORD"
2019-05-25 16:29:29,"chrome"
2019-05-25 16:29:31,"MendeleyDesktop"
2019-05-25 16:29:33,"chrome"
2019-05-25 16:29:37,"explorer"
2019-05-25 16:29:40,"MendeleyDesktop"
2019-05-25 16:29:56,"chrome"
2019-05-25 16:30:01,"explorer"
2019-05-25 16:30:24,"WINWORD"
2019-05-25 16:31:07,"explorer"
2019-05-25 16:31:09,"WINWORD"
2019-05-25 16:37:14,"Idle"
2019-05-25 16:37:15,"chrome"
2019-05-25 16:37:27,"explorer"
2019-05-25 16:37:33,"OpenWith"
2019-05-25 16:37:35,"explorer"
2019-05-25 16:37:37,"Acrobat"
2019-05-25 16:38:32,"explorer"
2019-05-25 16:38:34,"chrome"
2019-05-25 16:38:37,"WINWORD"
2019-05-25 16:38:54,"explorer"
2019-05-25 16:38:56,"WINWORD"
2019-05-25 16:39:39,"explorer"
2019-05-25 16:39:42,"WINWORD"
2019-05-25 16:42:55,"Idle"
2019-05-25 16:42:56,"explorer"
2019-05-25 16:42:58,"WINWORD"
2019-05-25 16:43:49,"Acrobat"
2019-05-25 16:43:50,"WINWORD"
2019-05-25 16:43:52,"explorer"
2019-05-25 16:43:54,"WINWORD"
2019-05-25 16:44:23,"explorer"
2019-05-25 16:44:32,"WINWORD"
2019-05-25 16:45:05,"explorer"
2019-05-25 16:45:06,"WINWORD"
2019-05-25 16:45:59,"chrome"
2019-05-25 16:47:23,"explorer"
2019-05-25 16:47:26,"WINWORD"
2019-05-25 16:47:37,"chrome"
2019-05-25 16:47:41,"WINWORD"
2019-05-25 16:51:09,"chrome"
2019-05-25 16:51:28,"WINWORD"
2019-05-25 16:56:30,"chrome"
2019-05-25 16:56:31,"WINWORD"
2019-05-25 16:56:32,"explorer"
2019-05-25 16:56:34,"WINWORD"
2019-05-25 16:56:45,"POWERPNT"
2019-05-25 16:56:46,"WINWORD"
2019-05-25 16:57:02,"explorer"
2019-05-25 16:57:03,"WINWORD"
2019-05-25 16:57:11,"POWERPNT"
2019-05-25 16:57:12,"explorer"
2019-05-25 16:57:13,"WINWORD"
2019-05-25 16:58:11,"POWERPNT"
2019-05-25 16:58:14,"WINWORD"
2019-05-25 16:58:16,"explorer"
2019-05-25 16:58:19,"WINWORD"
2019-05-25 17:01:48,"MendeleyDesktop"
2019-05-25 17:01:49,"WINWORD"
2019-05-25 17:01:54,"chrome"
2019-05-25 17:02:23,"explorer"
2019-05-25 17:02:24,"WINWORD"
2019-05-25 17:02:33,"MendeleyDesktop"
2019-05-25 17:02:34,"explorer"
2019-05-25 17:02:36,"chrome"
2019-05-25 17:02:37,"WINWORD"
2019-05-25 17:02:59,"chrome"
2019-05-25 17:03:00,"WINWORD"
2019-05-25 17:03:20,"chrome"
2019-05-25 17:03:22,"WINWORD"
2019-05-25 17:03:23,"Idle"
2019-05-25 17:03:24,"explorer"
2019-05-25 17:03:25,"WINWORD"
2019-05-25 17:04:56,"explorer"
2019-05-25 17:04:57,"WINWORD"
2019-05-25 17:07:41,"explorer"
2019-05-25 17:07:42,"WINWORD"
2019-05-25 17:08:55,"explorer"
2019-05-25 17:08:57,"WINWORD"
2019-05-25 17:10:17,"explorer"
2019-05-25 17:10:19,"WINWORD"
2019-05-25 17:12:33,"LockApp"
2019-05-25 17:20:10,"Idle"
2019-05-25 17:20:37,"WINWORD"
2019-05-25 17:22:32,"explorer"
2019-05-25 17:22:33,"WINWORD"
2019-05-25 17:23:26,"explorer"
2019-05-25 17:23:27,"WINWORD"
2019-05-25 17:23:28,"explorer"
2019-05-25 17:23:32,"WINWORD"
2019-05-25 17:29:11,"explorer"
2019-05-25 17:29:15,"WINWORD"
2019-05-25 17:30:34,"Idle"
2019-05-25 17:30:35,"explorer"
2019-05-25 17:30:37,"WINWORD"
2019-05-25 17:30:38,"explorer"
2019-05-25 17:30:40,"WINWORD"
2019-05-25 17:31:15,"POWERPNT"
2019-05-25 17:31:22,"WINWORD"
2019-05-25 17:46:24,"Idle"
2019-05-25 17:53:00,"LockApp"
2019-05-25 17:53:03,"Idle"
2019-05-25 17:53:27,"WINWORD"
2019-05-25 17:55:40,"MendeleyDesktop"
2019-05-25 17:55:42,"WINWORD"
2019-05-25 17:55:53,"explorer"
2019-05-25 17:56:27,"ShellExperienceHost"
2019-05-25 17:56:28,"explorer"
2019-05-25 17:56:31,"ShellExperienceHost"
2019-05-25 17:56:32,"explorer"
2019-05-25 17:56:35,"chrome"
2019-05-25 17:56:38,"explorer"
2019-05-25 17:56:43,"ApplicationFrameHost"
2019-05-25 17:56:48,"explorer"
2019-05-25 18:05:56,"SearchUI"
2019-05-25 18:06:01,"LockApp"
2019-05-25 18:16:36,"Idle"
2019-05-25 18:17:03,"SearchUI"
2019-05-25 18:17:06,"explorer"
2019-05-25 18:17:22,"EXCEL"
2019-05-26 12:55:00,"MonitorTool"
2019-05-26 12:55:03,"devenv"
2019-05-26 12:55:06,"explorer"
2019-05-26 12:55:21,"chrome"
2019-05-26 12:55:25,"explorer"
2019-05-26 12:55:27,"Idle"
2019-05-26 12:55:28,"chrome"
2019-05-26 12:55:30,"explorer"
2019-05-26 12:56:35,"chrome"
2019-05-26 13:03:59,"SearchUI"
2019-05-26 13:04:01,"explorer"
2019-05-26 13:04:13,"WINWORD"
2019-05-26 13:04:29,"explorer"
2019-05-26 13:04:31,"WINWORD"
2019-05-26 13:28:30,"SearchUI"
2019-05-26 13:28:38,"explorer"
2019-05-26 13:28:40,"MendeleyDesktop"
2019-05-26 13:30:30,"WINWORD"
2019-05-26 13:31:02,"MendeleyDesktop"
2019-05-26 13:31:05,"WINWORD"
2019-05-26 13:36:34,"MendeleyDesktop"
2019-05-26 13:36:36,"WINWORD"
2019-05-26 13:40:31,"explorer"
2019-05-26 13:40:37,"WINWORD"
2019-05-26 13:40:58,"explorer"
2019-05-26 13:41:00,"WINWORD"
2019-05-26 13:47:53,"explorer"
2019-05-26 13:47:54,"WINWORD"
2019-05-26 13:48:06,"explorer"
2019-05-26 13:48:09,"WINWORD"
2019-05-26 13:48:18,"explorer"
2019-05-26 13:48:19,"WINWORD"
2019-05-26 13:50:01,"explorer"
2019-05-26 13:50:05,"WINWORD"
2019-05-26 13:51:50,"explorer"
2019-05-26 13:52:03,"POWERPNT"
2019-05-26 13:52:29,"explorer"
2019-05-26 13:52:34,"WINWORD"
2019-05-26 13:52:35,"explorer"
2019-05-26 13:52:53,"WINWORD"
2019-05-26 13:53:00,"POWERPNT"
2019-05-26 13:53:09,"WINWORD"
2019-05-26 13:53:49,"POWERPNT"
2019-05-26 13:53:52,"explorer"
2019-05-26 13:53:54,"WINWORD"
2019-05-26 14:02:18,"POWERPNT"
2019-05-26 14:02:19,"explorer"
2019-05-26 14:02:22,"WINWORD"
2019-05-26 14:02:59,"LockApp"
2019-05-26 14:23:49,"Idle"
2019-05-26 14:24:13,"WINWORD"
2019-05-26 14:27:29,"POWERPNT"
2019-05-26 14:27:30,"explorer"
2019-05-26 14:27:32,"WINWORD"
2019-05-26 14:34:06,"explorer"
2019-05-26 14:34:50,"WINWORD"
2019-05-26 14:34:52,"explorer"
2019-05-26 14:34:53,"WINWORD"
2019-05-26 14:38:34,"explorer"
2019-05-26 14:38:37,"WINWORD"
2019-05-26 14:40:02,"explorer"
2019-05-26 14:40:06,"WINWORD"
2019-05-26 14:40:25,"explorer"
2019-05-26 14:40:57,"WINWORD"
2019-05-26 14:41:19,"explorer"
2019-05-26 14:41:21,"WINWORD"
2019-05-26 14:44:43,"explorer"
2019-05-26 14:44:49,"WINWORD"
2019-05-26 14:58:55,"explorer"
2019-05-26 14:59:01,"WINWORD"
2019-05-26 14:59:10,"explorer"
2019-05-26 14:59:18,"WINWORD"
2019-05-26 15:01:01,"explorer"
2019-05-26 15:01:06,"WINWORD"
2019-05-26 15:02:35,"explorer"
2019-05-26 15:02:36,"WINWORD"
2019-05-26 15:02:38,"explorer"
2019-05-26 15:02:39,"WINWORD"
