record_id,redcap_survey_identifier,end_day_survey_deadline_exp_timestamp,subject_id,day,how_mentally_demanding_was,how_physically_demanding_was_the_tas,how_hurried_or_rushed_was_the_pace,how_successful_were_you_in_accomplishing_what_you_were_asked,how_hard_did_you_have,how_insecure_discouraged,i_feel_calm,i_feel_secure,i_am_tense,i_feel_strained,i_feel_at_ease,i_feel_upset,i_am_presently_worrying_ov,i_feel_satisfied,i_feel_frightened,i_feel_comfortable,i_feel_self_confident,i_feel_nervous,i_am_jittery,i_feel_indecisive,i_am_relaxed,i_feel_content,i_am_worried,i_feel_confused,i_feel_steady,i_feel_pleasant,please_describe_how_you_fe,what_task_you_did_today_pl,what_task_left_for_the_dea,end_day_survey_deadline_exp_complete
4,,5/14/2019 14:04,T003,Day-1,18,15,18,12,18,17,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,"I'm feeling tired, I could find missing references, but still, need more information to be added before submission. hopefully, be able to finish my job by the end of the day tomorrow",,,2
5,,5/15/2019 15:44,T003,Day-2,19,18,20,19,20,18,3,3,2,3,3,3,1,4,1,3,4,2,2,2,3,2,2,3,3,3,"So far I'm about to finish, but still, some work may be needed two more hours to be ready. sometimes I had to go to read some more info to make sure everything is in place, but overall, I'm excited by my work. ",,,2
8,,5/20/2019 15:19,T003,Day-5,6,10,3,18,5,3,4,4,1,2,4,1,1,4,1,4,4,1,1,1,4,2,1,1,4,4,"I was preparing for slides for coming teaching activity, it was a good day so fsar",,,2
9,,5/21/2019 15:21,T003,Day+6,10,7,6,20,5,3,4,4,1,3,3,1,1,4,1,4,4,1,1,1,4,2,1,1,3,4,"I finished reading my presentation, and I'm feeling very exciting with  no  rush",,,2
11,,5/25/2019 18:04,T005,Day-2,14,5,12,12,15,5,3,3,2,2,3,1,1,3,1,3,4,2,1,1,3,2,1,1,3,3,"The day was not as stressful as I thought it would be. The progress was not as much as I wanted to make, as well.",1. Writing article  2. Organizing the previous draft write ups of different sections  3. interpret data  4. Read for references,1. Finishing the write up  2. final touch up of the tables and figures,2
12,,5/26/2019 18:23,T005,Day-1,17,12,15,17,15,5,3,3,2,3,3,1,1,3,1,3,4,1,1,1,2,3,1,1,4,3,The day was good. I could accomplish most of the things I wanted to. The day was a little more stressful than the day before.,Writing the article  reading references  arranging parts from various reports to the article  organizing figures and tables,few more paragraphs to write  conclusion and final finishing of the draft,2
13,,5/29/2019 17:23,T005,Day+2,8,8,8,15,10,0,4,4,1,1,4,1,1,4,1,4,4,1,1,1,4,3,1,1,4,4,The day was a normal work day. Less stressful than a normal work day,1. reviewed a paper  2. Analyzed some data,NA,2
15,,5/30/2019 16:45,T005,Day+3,15,1,1,15,15,0,4,4,1,2,4,1,1,3,1,4,4,1,1,1,4,3,1,1,4,4,The day was good. I was a little tired to start with.  Today I spent time analyzing the experimental data,Analyzed experimental data,NA,2
16,,5/31/2019 17:24,T005,Day+3,10,10,8,12,12,0,4,4,1,1,4,1,1,4,1,4,4,1,1,1,4,4,1,1,4,4,The day was good.    the following tasks were performed  -review of a paper as an external reviewer  -data analysis  ,the following tasks were performed  -review of a paper as an external reviewer  -data analysis,NA,2
17,,6/5/2019 16:20,T007,Day-1,15,2,10,17,18,15,1,2,3,1,2,1,2,3,1,3,3,2,1,1,2,2,3,2,3,1,I accomplished most of the things I have planned for the day. I was only distracted once by an email that I had to attend to in a timely manner. The rest of the session I could work on the re-submission without interruptions and I am optimistic that I will be able to re-submit the manuscript in time,"I have revised and added information in the Introduction and Method section of the manuscript. I have started working on the Discussion, but did not get as far as I planned. I have responded to all reviewers' editorial comments and started drafting a letter outlining all the changes I made to the manuscript. ","I need to add information in the results section by running an additional analysis and calculating effect sizes. I need to create summary tables for the analysis I have performed. Finally, I need to revise the discussion section and finish the letter to the editor",2
18,,6/6/2019 16:58,T007,Day-0,17,1,17,16,18,16,1,3,3,2,1,2,3,2,1,1,2,3,2,1,1,1,3,2,1,1,I am not very happy with my progress today. Out of all the tasks I had planned I only completed the data analysis and vizualization due to technical issues (Word crushed without saving my progress and problems in the data),"I have completed the data analysis and vizualization, and addressed some of the reviewer's comments in the discussion section","Finish revising the discussion section, send the revised manuscript to my advisor and prepare a letter to the editor",2
19,,6/13/2019 16:53,T007,Day+7,10,0,2,18,10,1,3,4,1,1,3,1,1,2,1,3,4,1,1,1,2,2,1,1,4,2,"It was a regular working day. I had some skype meetings, was on a call with my advisor did some emails, and started working on a funding application","It was a regular working day. I had some skype meetings, was on a call with my advisor did some emails, and started working on a funding application",,2
20,,6/14/2019 13:43,T007,Day+8,5,0,4,18,10,1,3,4,1,1,3,1,1,2,1,4,4,1,1,1,2,2,1,1,3,2,It was a regular working day. I spent a lot of time working on the graduate funding application. The rest of the time I have spent responding to emails and scoring neuropsychological assessments,It was a regular working day. I spent a lot of time working on the graduate funding application. The rest of the time I have spent responding to emails and scoring neuropsychological assessments,,2
22,,7/24/2019 15:53,T009,Day-1,15,10,20,15,15,15,2,2,2,2,1,1,3,2,2,1,1,3,1,2,1,1,2,1,1,1,"Finishing the writing of the paper, and discussing with my professor many times. I finish the first version of my paper. I am not sure it is good or not. So I need to get feedback from my professor, modify and submit it. ","Writing the paper, modify the paper.  Only for text.",Modify the paper and make it be a good paper. I need to get results of the last two experiments about evaluation of our method on the benchmark.,2
23,,7/25/2019 19:25,T009,Day-0,20,15,15,18,15,18,3,3,1,1,2,1,2,2,1,1,2,1,1,1,2,2,2,1,1,1,"when working on paper, I feel a little nervous and worried about how I can finish it well. Now I submitted my paper, I feel a little relaxed, But not totally relaxed.","Modify the paper in terms of my professor's feedback, put all experimental results.",Nothing,2
24,,8/5/2019 16:37,T009,Day+11,10,10,5,15,10,3,3,3,1,1,3,1,1,3,1,2,3,1,1,1,2,3,1,1,1,2,I read some new papers that got accepted by the top conference about my research topic.,Read papers and run some basic experiments.,,2
25,,8/6/2019 16:55,T009,Day+22,15,10,5,15,10,3,3,3,1,1,3,1,1,3,1,3,3,1,1,1,3,2,1,1,2,2,Read papers related to my research topic.,Read papers related to my topic. Evaluation of some experiments I did before about pedestrian detection.,,2
