T001,Group1,female,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T002,Group1,male,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T003,Group1,male,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T004,Group1,male,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T005,Group1,male,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T006,Group1,male,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T007,Group1,male,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T008,Group1,male,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T009,Group1,male,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T010,Group1,male,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T011,Group1,male,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T012,Group1,male,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T013,Group1,male,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T014,Group1,male,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T015,Group1,male,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T016,Group1,male,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T017,Group1,male,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T018,Group1,male,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T019,Group1,male,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T020,Group1,male,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T021,Group1,male,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T022,Group1,male,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T023,Group1,male,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T024,Group1,male,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T025,Group1,male,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T026,Group1,male,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T027,Group1,male,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T028,Group1,male,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T029,Group1,male,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T030,Group1,male,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T031,Group1,male,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T032,Group1,female,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T033,Group1,female,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T034,Group1,female,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T035,Group1,female,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T036,Group1,female,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T037,Group1,female,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T038,Group1,female,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T039,Group1,female,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T040,Group1,female,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T041,Group1,female,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T042,Group1,female,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T043,Group1,female,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T044,Group1,female,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T045,Group1,female,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T046,Group1,female,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T047,Group1,female,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T048,Group1,female,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T049,Group1,female,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T050,Group1,female,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T051,Group1,female,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T052,Group1,female,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T053,Group1,female,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T054,Group1,female,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T055,Group1,female,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T056,Group1,female,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T057,Group1,female,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T058,Group1,female,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T059,Group1,female,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
T060,Group1,female,"['Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession', 'Baseline', 'WorkingSession']"
